type,start_date,end_date,variable,operation,lat_range,lon_range,year,month,modification,value,new_variable_name,base_variable,factor,season
SpatialSubsetExtraction,,,t2m,,"[11.951906611325356, 72.77627197726912]","[-27.851023442455528, 12.436052768289471]",,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[-53.28052712695745, -22.525277474634635]","[73.21786417578721, 133.7556987088513]",,,,,,,,
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.2302547367571128,
SeasonalAggregation,,,t2m,max,,,2002,,,,,,,spring
SeasonalAggregation,,,t2m,max,,,2006,,,,,,,autumn
TemporalRangeAggregation,2020-01-01,2020-02-05,t2m,mean,,,,,,,,,,
TemporalDataModification,,,t2m,,,,2009,11,increase,1.5134617327212254,,,,
SpatialSubsetExtraction,,,t2m,,"[-70.25436527281884, 66.08335301471485]","[-130.5828661397266, -129.96680844594096]",,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[51.06132155747966, 83.26759288739228]","[-130.34813621651205, 74.45634119732571]",,,,,,,,
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.4385395287184426,
TemporalDataModification,,,t2m,,,,2008,6,increase,1.869522295210158,,,,
SeasonalAggregation,,,t2m,max,,,2013,,,,,,,autumn
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.1562730125528597,
TemporalDataModification,,,t2m,,,,2020,7,increase,1.2122307105212182,,,,
TemporalRangeAggregation,2020-01-01,2020-02-13,t2m,sum,,,,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-25,t2m,mean,,,,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[-74.5858539435726, 44.70122542068097]","[-3.194381524069314, 117.4796285425989]",,,,,,,,
TemporalDataModification,,,t2m,,,,2005,4,increase,0.6531148282297533,,,,
TemporalDataModification,,,t2m,,,,2008,1,increase,1.6830240552785225,,,,
SeasonalAggregation,,,t2m,mean,,,2013,,,,,,,spring
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.270177553625123,
TemporalRangeAggregation,2020-01-01,2020-02-05,t2m,sum,,,,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[-46.7570649249673, 54.247583819594524]","[-72.1550499987957, 29.84027983249453]",,,,,,,,
TemporalDataModification,,,t2m,,,,2000,9,increase,1.9046563631928901,,,,
SpatialSubsetExtraction,,,t2m,,"[-12.220309093816425, 52.74680511274053]","[-119.0936612226007, 179.2253972346777]",,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-04,t2m,mean,,,,,,,,,,
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.4695716596588952,
SpatialSubsetExtraction,,,t2m,,"[-58.8495689371192, -3.679407754552983]","[-33.5961148118146, 151.2781092076275]",,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[-13.893780596380722, 81.79451248694545]","[-54.37643223210054, -51.15837148337391]",,,,,,,,
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.3329082369706675,
TemporalDataModification,,,t2m,,,,2021,10,increase,1.148853366847862,,,,
SpatialSubsetExtraction,,,t2m,,"[-14.805446171173628, 68.17255064134747]","[-178.19443412094319, 121.89394955751834]",,,,,,,,
SeasonalAggregation,,,t2m,mean,,,2021,,,,,,,spring
TemporalRangeAggregation,2020-01-01,2020-02-19,t2m,sum,,,,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[-85.91526243814043, 11.866569998635285]","[-132.89608550352204, 177.17522764506668]",,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-01-31,t2m,mean,,,,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[13.803549125734108, 23.57060020811322]","[26.32495598566777, 102.46800553999316]",,,,,,,,
SeasonalAggregation,,,t2m,mean,,,2017,,,,,,,autumn
TemporalDataModification,,,t2m,,,,2004,7,increase,1.6922158528529794,,,,
TemporalRangeAggregation,2020-01-01,2020-02-12,t2m,mean,,,,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[-63.46573144239993, 49.946015613257515]","[-39.91191934992477, 66.46676058081547]",,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-19,t2m,mean,,,,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-14,t2m,sum,,,,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[-58.95858664694262, 59.199605375238264]","[-128.03314833405312, -7.83222760904485]",,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-25,t2m,mean,,,,,,,,,,
SeasonalAggregation,,,t2m,mean,,,2004,,,,,,,winter
TemporalRangeAggregation,2020-01-01,2020-02-11,t2m,sum,,,,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-14,t2m,mean,,,,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-03,t2m,sum,,,,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-24,t2m,sum,,,,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[25.6861202924091, 63.61756830692701]","[102.61038081291673, 154.10693177723]",,,,,,,,
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.2674633402633433,
TemporalRangeAggregation,2020-01-01,2020-02-26,t2m,sum,,,,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-15,t2m,mean,,,,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-21,t2m,mean,,,,,,,,,,
SeasonalAggregation,,,t2m,max,,,2003,,,,,,,winter
TemporalRangeAggregation,2020-01-01,2020-02-24,t2m,mean,,,,,,,,,,
SeasonalAggregation,,,t2m,max,,,2007,,,,,,,autumn
TemporalRangeAggregation,2020-01-01,2020-02-04,t2m,sum,,,,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[-77.91368791137697, -54.64689563748668]","[-11.268862548736791, 122.9165502319035]",,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-22,t2m,mean,,,,,,,,,,
SeasonalAggregation,,,t2m,max,,,2001,,,,,,,summer
TemporalRangeAggregation,2020-01-01,2020-02-06,t2m,sum,,,,,,,,,,
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.247515984549597,
TemporalRangeAggregation,2020-01-01,2020-02-16,t2m,mean,,,,,,,,,,
TemporalDataModification,,,t2m,,,,2016,11,increase,1.4780303136341464,,,,
SpatialSubsetExtraction,,,t2m,,"[-23.44559404769349, 13.545738289415752]","[51.608757385487365, 145.45574847999978]",,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-07,t2m,sum,,,,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-17,t2m,mean,,,,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-25,t2m,sum,,,,,,,,,,
TemporalDataModification,,,t2m,,,,2010,6,increase,0.4820728128058017,,,,
SeasonalAggregation,,,t2m,max,,,2007,,,,,,,autumn
TemporalDataModification,,,t2m,,,,2004,10,increase,0.721588364553875,,,,
SeasonalAggregation,,,t2m,max,,,2005,,,,,,,winter
SpatialSubsetExtraction,,,t2m,,"[-16.14891491521452, 51.74445790330407]","[67.55306538740359, 137.09842999538165]",,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-27,t2m,mean,,,,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[-52.770991735543774, 29.901193797555848]","[-41.527971856120956, 116.98648795256554]",,,,,,,,
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.285771439779336,
TemporalDataModification,,,t2m,,,,2003,5,increase,1.9905909591179174,,,,
SpatialSubsetExtraction,,,t2m,,"[-51.249486895363695, 70.54999721153567]","[-170.08528692571295, 6.0101489404462995]",,,,,,,,
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.1807257233743382,
SpatialSubsetExtraction,,,t2m,,"[-33.08815715038956, 25.1243305171689]","[11.02055487618901, 36.61838023872707]",,,,,,,,
TemporalRangeAggregation,2020-01-01,2020-02-04,t2m,sum,,,,,,,,,,
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.4931078852769262,
TemporalDataModification,,,t2m,,,,2011,7,increase,1.0963948922566769,,,,
SeasonalAggregation,,,t2m,max,,,2006,,,,,,,spring
TemporalRangeAggregation,2020-01-01,2020-02-09,t2m,sum,,,,,,,,,,
SeasonalAggregation,,,t2m,max,,,2005,,,,,,,autumn
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.260471189496537,
TemporalDataModification,,,t2m,,,,2022,11,increase,0.399355667104653,,,,
TemporalRangeAggregation,2020-01-01,2020-02-11,t2m,mean,,,,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[-1.1105855106448246, 85.5962000974366]","[-173.57423419617388, -146.70738708778822]",,,,,,,,
SpatialSubsetExtraction,,,t2m,,"[-75.27367854620707, 57.24803643906202]","[114.55483394121575, 145.4870658813938]",,,,,,,,
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.2835738853316638,
TemporalDataModification,,,t2m,,,,2008,1,increase,0.6337088126812918,,,,
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.338724156644918,
AddDerivedVariable,,,,multiply,,,,,,,t2m_modified,t2m,1.3438729229008544,
SpatialSubsetExtraction,,,t2m,,"[4.656150698456017, 22.092681449324218]","[-88.74163636940855, 11.839665366641299]",,,,,,,,
SeasonalAggregation,,,t2m,mean,,,2013,,,,,,,spring
SpatialSubsetExtraction,,,t2m,,"[75.04365999395355, 89.04997740901965]","[-74.51269158634872, 9.991976929030187]",,,,,,,,
